name,city,canton,confidence,ambiguous,che,legal_name,forme,street,postal_code,locality,region,address_full,name_score,canton_match,city_match,probe,n_candidates
3B Real Estate Sagl,Lugano,TI,NONE,,,,,,,,,,,,,,0
A & M Consulting GmbH,Rafz,ZH,NONE,,,,,,,,,,,,,,0
A-Z Immodienste GmbH,Zürich,ZH,HIGH,,CHE-340.395.485,A-Z Immodienste GmbH,Sàrl,Manessestrasse 2,8003,Zürich,ZH,"Manessestrasse 2, 8003 Zürich",1.00,yes,yes,immodienste,7
A. Bill AG,Wabern,BE,HIGH,,CHE-107.146.970,A. Bill AG,SA,Seftigenstrasse 315,3084,Wabern,BE,"Seftigenstrasse 315, 3084 Wabern",1.00,yes,yes,bill,60
A. Bill AG — Immobilien,Wabern,BE,HIGH,,CHE-107.146.970,A. Bill AG,SA,Seftigenstrasse 315,3084,Wabern,BE,"Seftigenstrasse 315, 3084 Wabern",1.00,yes,yes,bill,60
A. Güntensperger AG,Zürich,ZH,HIGH,,CHE-107.301.207,A. Güntensperger AG,SA,Dörflistrasse 14,8057,Zürich,ZH,"Dörflistrasse 14, 8057 Zürich",1.00,yes,yes,güntensperger,26
A. und K. Gerber,Steffisburg,BE,LOW,,CHE-100.311.676,Gerber Immobilien AG Bern,SA,Wangenstrasse 132a,3018,Bern,BE,"Wangenstrasse 132a, 3018 Bern",0.50,yes,,gerber,60
AARBRUGG AG,Brugg AG,AG,HIGH,yes,CHE-106.327.888,Aarbrugg AG,SA,Seidenstrasse 3,5200,Brugg AG,AG,"Seidenstrasse 3, 5200 Brugg AG",1.00,yes,yes,aarbrugg,2
aargau-immo klg,Veltheim,AG,LOW,,CHE-107.125.347,Hauseigentümerverband Aargau,assoc,Stadtturmstrasse 19,5400,Baden,AG,"Stadtturmstrasse 19, 5400 Baden",0.50,yes,,aargau,60
Aberegg Immobilien GmbH,,,HIGH,yes,CHE-105.109.337,Aberegg Consulting AG,SA,"c/o Trees & Partner AG
Seftigenstrassse 2",3007,Bern,BE,"c/o Trees & Partner AG
Seftigenstrassse 2, 3007 Bern",1.00,,,aberegg,7
Abimmoway GmbH,Basel,BS,HIGH,,CHE-486.439.461,Abimmoway GmbH,Sàrl,Hirzbodenweg 95,4052,Basel,BS,"Hirzbodenweg 95, 4052 Basel",1.00,yes,yes,abimmoway,1
Abitop GmbH,,,HIGH,,CHE-114.775.728,Abitop GmbH,Sàrl,Tägerhardring 8,5436,Würenlos,AG,"Tägerhardring 8, 5436 Würenlos",1.00,,,abitop,1
Abt & Domb AG,Füllingsdorf,BL,HIGH,yes,CHE-330.108.655,Abt & Domb AG,SA,Bächliackerstrasse 4a,4402,Frenkendorf,BL,"Bächliackerstrasse 4a, 4402 Frenkendorf",1.00,yes,,domb,27
ac&p immobilien ag,Luzern,LU,NONE,,,,,,,,,,,,,,0
Achesa Lifestyle AG,Kloten,ZH,HIGH,,CHE-106.058.808,Achesa Lifestyle AG,SA,Hamelirainstrasse 5,8302,Kloten,ZH,"Hamelirainstrasse 5, 8302 Kloten",1.00,yes,yes,lifestyle,60
Achesa Management AG,Kloten,ZH,LOW,,CHE-103.050.414,AWS Management AG,SA,Dorfstrasse 33,8155,Niederhasli,ZH,"Dorfstrasse 33, 8155 Niederhasli",0.50,yes,,management,60
Achesa Management AG — Achesa Management AG,Kloten,ZH,LOW,,CHE-103.050.414,AWS Management AG,SA,Dorfstrasse 33,8155,Niederhasli,ZH,"Dorfstrasse 33, 8155 Niederhasli",0.50,yes,,management,60
Ackermann Immobilien AG,Baden,AG,HIGH,yes,CHE-103.158.098,Ackermann Immobilien AG,SA,Rütistrasse 3a,5400,Baden,AG,"Rütistrasse 3a, 5400 Baden",1.00,yes,yes,ackermann,60
Activ Immotreuhand AG,Allschwil,BL,HIGH,,CHE-416.599.906,ACTIV IMMOTREUHAND AG,SA,Ringstrasse 9,4123,Allschwil,BL,"Ringstrasse 9, 4123 Allschwil",1.00,yes,yes,immotreuhand,15
AD Real Estate,Genève,GE,NONE,,,,,,,,,,,,,,0
Ade Immobilien AG,Basel,BS,NONE,,CHE-102.490.621,Alcatel-Lucent Trade International AG,SA,Elisabethenstr. 3,4051,Basel,BS,"Elisabethenstr. 3, 4051 Basel",0.00,yes,yes,ade,60
Adimmo AG,Basel,BS,HIGH,yes,CHE-105.526.333,Adimmo AG,SA,Engelgasse 12,4052,Basel,BS,"Engelgasse 12, 4052 Basel",1.00,yes,yes,adimmo,18
ADOWIA Immobilien AG,Thun,BE,HIGH,,CHE-310.389.965,Adowia Immobilien AG,SA,Neufeldstrasse 56,3604,Thun,BE,"Neufeldstrasse 56, 3604 Thun",1.00,yes,yes,adowia,1
ADT INNOVA Immobilien und Verwaltungs AG,Dübendorf,ZH,LOW,,CHE-100.826.006,Aegis Verwaltungs AG Winterthur,SA,Loorstrasse 5,8400,Winterthur,ZH,"Loorstrasse 5, 8400 Winterthur",0.40,yes,,verwaltungs,60
Advendis AG,Zug,ZG,HIGH,,CHE-114.397.980,Advendis AG,SA,Artherstrasse 7,6301,Zug,ZG,"Artherstrasse 7, 6301 Zug",1.00,yes,yes,advendis,3
Aeberhard & Partner Immobilien GmbH,Frauenfeld,TG,HIGH,yes,CHE-102.529.430,Aeberhard AG,SA,Langenhag 34,9424,Rheineck,SG,"Langenhag 34, 9424 Rheineck",1.00,,,aeberhard,60
Affitto/Vendo.ch by Dreieck,Lugano,TI,NONE,,,,,,,,,,,,,affitto,0
Agence du Bourg Sàrl,Chêne-Bourg,GE,NONE,,,,,,,,,,,,,,0
Agence Immobilière Immo-rama.ch — Immo-rama.ch,Crissier,VD,NONE,,CHE-102.382.115,Conforama Suisse SA,SA,Rue de la Gare 32,1110,Morges,VD,"Rue de la Gare 32, 1110 Morges",0.00,yes,,rama,60
Agence PHI Sàrl,Sion,VS,NONE,,CHE-107.028.193,"Motovalère, Philippe Coudray",0101,Rue du Prieuré 16,1963,Vétroz,VS,"Rue du Prieuré 16, 1963 Vétroz",0.00,yes,,phi,60
Agence Proximmo Echallens Location,Echallens,VD,LOW,,CHE-115.716.846,PROXIMMO Agence Immobilière Sàrl,Sàrl,Place Bel-Air 1,1003,Lausanne,VD,"Place Bel-Air 1, 1003 Lausanne",0.50,yes,,proximmo,1
Agence Proximmo Lausanne Location,Lausanne,VD,MEDIUM,,CHE-115.716.846,PROXIMMO Agence Immobilière Sàrl,Sàrl,Place Bel-Air 1,1003,Lausanne,VD,"Place Bel-Air 1, 1003 Lausanne",0.67,yes,yes,proximmo,1
AGENCE REMICOM FRIBOURG,Fribourg,FR,HIGH,,CHE-112.458.240,REMICOM IMMOBILIER SA,SA,route de Frontenex 58 bis,1207,Genève,GE,"route de Frontenex 58 bis, 1207 Genève",1.00,,,remicom,1
AGENCE REMICOM GENEVE,Genève,GE,HIGH,,CHE-112.458.240,REMICOM IMMOBILIER SA,SA,route de Frontenex 58 bis,1207,Genève,GE,"route de Frontenex 58 bis, 1207 Genève",1.00,yes,yes,remicom,1
AGENCE REMICOM HÒTELLERIE,Genève,GE,LOW,,CHE-115.082.355,Bristol Hotellerie AG,SA,"c/o Rott, Steffen + Partner GmbH
Hauptstrasse 21",9042,Speicher,AR,"c/o Rott, Steffen + Partner GmbH
Hauptstrasse 21, 9042 Speicher",0.50,,,hòtellerie,20
AGENCE REMICOM JURA-BIENNE,Neuchâtel,NE,MEDIUM,,CHE-112.458.240,REMICOM IMMOBILIER SA,SA,route de Frontenex 58 bis,1207,Genève,GE,"route de Frontenex 58 bis, 1207 Genève",0.67,,,remicom,1
AGENCE REMICOM LA COTE,Morges,VD,MEDIUM,,CHE-112.458.240,REMICOM IMMOBILIER SA,SA,route de Frontenex 58 bis,1207,Genève,GE,"route de Frontenex 58 bis, 1207 Genève",0.67,,,remicom,1
AGENCE REMICOM LAUSANNE,Lausanne,VD,HIGH,,CHE-112.458.240,REMICOM IMMOBILIER SA,SA,route de Frontenex 58 bis,1207,Genève,GE,"route de Frontenex 58 bis, 1207 Genève",1.00,,,remicom,1
AGENCE REMICOM NEUCHATEL,Neuchâtel,NE,HIGH,,CHE-112.458.240,REMICOM IMMOBILIER SA,SA,route de Frontenex 58 bis,1207,Genève,GE,"route de Frontenex 58 bis, 1207 Genève",1.00,,,remicom,1
AGENCE REMICOM PME,Genève,GE,MEDIUM,,CHE-112.458.240,REMICOM IMMOBILIER SA,SA,route de Frontenex 58 bis,1207,Genève,GE,"route de Frontenex 58 bis, 1207 Genève",0.67,yes,yes,remicom,1
AGENCE REMICOM RIVIERA,Chailly / Montreux,VD,MEDIUM,,CHE-112.458.240,REMICOM IMMOBILIER SA,SA,route de Frontenex 58 bis,1207,Genève,GE,"route de Frontenex 58 bis, 1207 Genève",0.67,,,remicom,1
AGENCE REMICOM VALAIS,Sion,VS,MEDIUM,,CHE-112.458.240,REMICOM IMMOBILIER SA,SA,route de Frontenex 58 bis,1207,Genève,GE,"route de Frontenex 58 bis, 1207 Genève",0.67,,,remicom,1
Agentur Wyss AG,Burgdorf,BE,HIGH,yes,CHE-100.168.628,Wyss Holding AG,SA,"c/o Hansrudolf Wyss
Museumstrasse 23",5200,Brugg AG,AG,"c/o Hansrudolf Wyss
Museumstrasse 23, 5200 Brugg AG",1.00,,,wyss,60
AGENZIA REMICOM TICINO,Lugano,TI,LOW,,CHE-108.153.984,Agenzia Immobiliare Ceresio SA,SA,Piazza Dante 8,6900,Lugano,TI,"Piazza Dante 8, 6900 Lugano",0.40,yes,yes,agenzia,60
AGF Immobilien AG,,,HIGH,yes,CHE-109.898.147,AGF Holding SA,SA,Avenue Mon-Repos 24,1005,Lausanne,VD,"Avenue Mon-Repos 24, 1005 Lausanne",1.00,,,agf,37
AGMENTO Immobilien AG,Oensingen,BL,HIGH,yes,CHE-109.084.400,Agmento Immobilien AG,SA,Eichengasse 3,4702,Oensingen,SO,"Eichengasse 3, 4702 Oensingen",1.00,,yes,agmento,2
AGOODDAY relocation & real estate Sàrl,Genolier,GE,MEDIUM,,CHE-114.121.797,Swiss Relocation Services GmbH,Sàrl,Hubackerstrasse 31,8105,Regensdorf,ZH,"Hubackerstrasse 31, 8105 Regensdorf",0.67,,,relocation,60
Agora Immobilien AG,Zürich,ZH,HIGH,yes,CHE-206.114.844,Agora Schweiz GmbH,Sàrl,Viaduktstrasse 93,8005,Zürich,ZH,"Viaduktstrasse 93, 8005 Zürich",1.00,yes,yes,agora,60
AGSW,St. Gallen,SG,NONE,,CHE-106.930.211,Belagswerk Boningen AG,SA,Fulenbacherstrasse 138,4618,Boningen,SO,"Fulenbacherstrasse 138, 4618 Boningen",0.00,,,agsw,8
Akiba GmbH Immobilien,Wädenswil,ZH,HIGH,,CHE-417.451.637,Akiba GmbH,Sàrl,Einsiedlerstrasse 25,8820,Wädenswil,ZH,"Einsiedlerstrasse 25, 8820 Wädenswil",1.00,yes,yes,akiba,7
AKINETA Immobilien AG,Olten,SO,HIGH,,CHE-112.351.234,AKINETA Immobilien AG,SA,Dornacherstrasse 24,4600,Olten,SO,"Dornacherstrasse 24, 4600 Olten",1.00,yes,yes,akineta,1
Alberto Sanz Immobiliare,Minusio,TI,LOW,,CHE-110.390.281,Fondazione Alberto Taddeoli,fond,"c/o Cristiano Bianchi
 ",6578,Caviano,TI,"c/o Cristiano Bianchi
 , 6578 Caviano",0.50,yes,,alberto,60
Alessi,,,LOW,,CHE-114.044.257,Alessi Garten und Tiefbau,0101,Reppischtalstrasse 36,8914,Aeugstertal,ZH,"Reppischtalstrasse 36, 8914 Aeugstertal",0.50,,,alessi,60
allcap AG,Schaffhausen,SH,HIGH,,CHE-114.564.516,allcap AG,SA,Vorstadt 12,8200,Schaffhausen,SH,"Vorstadt 12, 8200 Schaffhausen",1.00,yes,yes,allcap,2
Alliance Immobilière Genevoise,Châtelaine,GE,HIGH,,CHE-278.422.405,Alliance Immobilière Genevoise Sàrl,Sàrl,chemin J.-Ph.-De-Sauvage 37,1219,Châtelaine,GE,"chemin J.-Ph.-De-Sauvage 37, 1219 Châtelaine",1.00,yes,yes,genevoise,60
Allianz Suisse Immobilien AG,Zürich,ZH,HIGH,,CHE-105.837.520,Allianz Suisse Immobilien AG,SA,Richtiplatz 1,8304,Wallisellen,ZH,"Richtiplatz 1, 8304 Wallisellen",1.00,yes,,allianz,60
Allianz Suisse Immobilier SA,Bussigny,VD,HIGH,,CHE-105.837.520,Allianz Suisse Immobilien AG,SA,Richtiplatz 1,8304,Wallisellen,ZH,"Richtiplatz 1, 8304 Wallisellen",1.00,,,allianz,60
