company_name,legal_name,uid_che,che_confidence,street,postal_code,city,canton
A-Z Immodienste GmbH,A-Z Immodienste GmbH,CHE-340.395.485,confirme,Manessestrasse 2,8003,Zürich,ZH
A. Bill AG,A. Bill AG,CHE-107.146.970,confirme,Seftigenstrasse 315,3084,Wabern,BE
A. Bill AG — Immobilien,A. Bill AG,CHE-107.146.970,confirme,Seftigenstrasse 315,3084,Wabern,BE
A. Güntensperger AG,A. Güntensperger AG,CHE-107.301.207,confirme,Dörflistrasse 14,8057,Zürich,ZH
AARBRUGG AG,Aarbrugg AG,CHE-106.327.888,confirme,Seidenstrasse 3,5200,Brugg AG,AG
Abimmoway GmbH,Abimmoway GmbH,CHE-486.439.461,confirme,Hirzbodenweg 95,4052,Basel,BS
Abt & Domb AG,Abt & Domb AG,CHE-330.108.655,confirme,Bächliackerstrasse 4a,4402,Frenkendorf,BL
Achesa Lifestyle AG,Achesa Lifestyle AG,CHE-106.058.808,confirme,Hamelirainstrasse 5,8302,Kloten,ZH
Ackermann Immobilien AG,Ackermann Immobilien AG,CHE-103.158.098,confirme,Rütistrasse 3a,5400,Baden,AG
Activ Immotreuhand AG,ACTIV IMMOTREUHAND AG,CHE-416.599.906,confirme,Ringstrasse 9,4123,Allschwil,BL
Adimmo AG,Adimmo AG,CHE-105.526.333,confirme,Engelgasse 12,4052,Basel,BS
ADOWIA Immobilien AG,Adowia Immobilien AG,CHE-310.389.965,confirme,Neufeldstrasse 56,3604,Thun,BE
Advendis AG,Advendis AG,CHE-114.397.980,confirme,Artherstrasse 7,6301,Zug,ZG
AGENCE REMICOM GENEVE,REMICOM IMMOBILIER SA,CHE-112.458.240,confirme,route de Frontenex 58 bis,1207,Genève,GE
AGMENTO Immobilien AG,Agmento Immobilien AG,CHE-109.084.400,confirme,Eichengasse 3,4702,Oensingen,SO
Agora Immobilien AG,Agora Schweiz GmbH,CHE-206.114.844,confirme,Viaduktstrasse 93,8005,Zürich,ZH
Akiba GmbH Immobilien,Akiba GmbH,CHE-417.451.637,confirme,Einsiedlerstrasse 25,8820,Wädenswil,ZH
AKINETA Immobilien AG,AKINETA Immobilien AG,CHE-112.351.234,confirme,Dornacherstrasse 24,4600,Olten,SO
allcap AG,allcap AG,CHE-114.564.516,confirme,Vorstadt 12,8200,Schaffhausen,SH
Alliance Immobilière Genevoise,Alliance Immobilière Genevoise Sàrl,CHE-278.422.405,confirme,chemin J.-Ph.-De-Sauvage 37,1219,Châtelaine,GE
Allianz Suisse Immobilien AG,Allianz Suisse Immobilien AG,CHE-105.837.520,confirme,Richtiplatz 1,8304,Wallisellen,ZH
Allod Immobilien AG,Allod Immobilien AG,CHE-104.680.865,confirme,Rätusstrasse 22,7000,Chur,GR
Alloggi Ticino SA,Alloggi Ticino SA,CHE-100.885.842,confirme,Via della Posta 21,6934,Bioggio,TI
Allreal Generalunternehmung AG,Allreal Generalunternehmung AG,CHE-105.977.687,confirme,Lindbergh-Allee 1,8152,Glattpark (Opfikon),ZH
