company_name,canton,verdict,name_similarity,shares_logo_with
"Advendis AG","ZG","fort_nettoye","0.00","Bitte kontaktieren Sie mich per Mail:"
"Alyssa Luongo — Alyssa Luongo","ZH","fort_nettoye","0.00","Sergio Wuhrmann; Wuhrmann Immobilien — Dana Rüttimann; Wuhrmann Immobilien & Verwaltungs GmbH"
"August Portmann AG","","fort_nettoye","0.00","Osesta GmbH"
"BaumannPlus GmbH","BE","fort_nettoye","0.00","DELTA Immobilien"
"Bitte kontaktieren Sie mich per Mail:","ZH","fort_nettoye","0.00","Advendis AG"
"Bucher","LU","fort_nettoye","0.00","Massplan AG"
"Colin Knutti","ZH","fort_nettoye","0.00","Schaufelberger Immobilien AG"
"DELTA Immobilien","BE","fort_nettoye","0.00","BaumannPlus GmbH"
"Engel & Völkers Ascona","TI","fort_nettoye","0.00","I"
"Hauptsitz","VS","fort_nettoye","0.00","VAL Group AG; VAL Group SA"
"HEV Verwaltungs AG","","fort_nettoye","0.00","Immoshop Werdenberg"
"I","TI","fort_nettoye","0.00","Engel & Völkers Ascona"
"Immoshop Werdenberg","","fort_nettoye","0.00","HEV Verwaltungs AG"
"Janine Hager","ZH","fort_nettoye","0.00","BODAG Immobilien AG; BODAG Immobilien AG — BODAG Immobilien AG; Ilaria Mollo"
"Livio Gredig","","fort_nettoye","0.00","Residencia Real Estate AG"
"Massplan AG","LU","fort_nettoye","0.00","Bucher"
"Oplo","VS","fort_nettoye","0.00","Alta Immobilier; L.Comina Immobilier"
"Osesta GmbH","","fort_nettoye","0.00","August Portmann AG"
"Residencia Real Estate AG","ZG","fort_nettoye","0.00","Livio Gredig"
"Rinesa Gjukaj","SO","fort_nettoye","0.00","Jean-Philippe Favre; Post Immobilien Management & Services AG; Post Immobilien Management und Services AG"
"Schaufelberger Immobilien AG","ZH","fort_nettoye","0.00","Colin Knutti"
"sitEX Properties Holding AG","ZH","fort_nettoye","0.00","The 5th Floor GmbH"
"Stefan Diethelm","SO","fort_nettoye","0.00","Immowengi AG; Immowengi AG — Bewirtschaftung; Immowengi AG — Philipp Roth"
"The 5th Floor GmbH","BS","fort_nettoye","0.00","sitEX Properties Holding AG"
"e-support services ag","BE","fort_nettoye","0.02","S. Barmettler Immobilien GmbH"
"S. Barmettler Immobilien GmbH","BE","fort_nettoye","0.02","e-support services ag"
"L'adresse Immobilière Sàrl","VS","fort_nettoye","0.02","John Taylor Sion; John Taylor Verbier"
"Cityflats by Serwiss","LU","fort_nettoye","0.02","TAT Bau- Immobilien AG; TAT Bau- und Immobilien AG; TAT Bau- und Immobilienmanagement AG"
"Agence du Bourg Sàrl","GE","fort_nettoye","0.02","Imogroup Grand Genève"
"Immobiliare SL SA","TI","fort_nettoye","0.02","Specht & Lappe Real Estate"
"Imogroup Grand Genève","GE","fort_nettoye","0.02","Agence du Bourg Sàrl"
"Specht & Lappe Real Estate","TI","fort_nettoye","0.02","Immobiliare SL SA"
"B4 Ivan Buhlmann","FR","fort_nettoye","0.03","Winteam Immobilier Sàrl"
"Winteam Immobilier Sàrl","FR","fort_nettoye","0.03","B4 Ivan Buhlmann"
"Privera-Wincasa","","fort_nettoye","0.03","VERIT Immobilien AG"
"VERIT Immobilien AG","ZH","fort_nettoye","0.03","Privera-Wincasa"
"ANIMMO Verwaltung GmbH","SO","fort_nettoye","0.03","Relavest AG"
"Relavest AG","SO","fort_nettoye","0.03","ANIMMO Verwaltung GmbH"
"Gerber Andreas","BE","fort_nettoye","0.03","TAK Immobilien AG"
"TAK Immobilien AG","BE","fort_nettoye","0.03","Gerber Andreas"
"Ilaria Mollo","ZH","fort_nettoye","0.03","BODAG Immobilien AG; BODAG Immobilien AG — BODAG Immobilien AG; Janine Hager"
"Reto Knuchel","BE","fort_nettoye","0.03","ruef immobilien AG"
"ruef immobilien AG","BE","fort_nettoye","0.03","Reto Knuchel"
"Jean-Philippe Favre","VD","fort_nettoye","0.04","Post Immobilien Management & Services AG; Post Immobilien Management und Services AG; Rinesa Gjukaj"
"Raphael Amrein","","fort_nettoye","0.04","WOW Living AG"
"WOW Living AG","LU","fort_nettoye","0.04","Raphael Amrein"
"Domusdea SA","TI","fort_nettoye","0.04","Studio Fiduciario e Immobiliare Roberta Pantani Tettamanti SA"
"Studio Fiduciario e Immobiliare Roberta Pantani Tettamanti SA","TI","fort_nettoye","0.04","Domusdea SA"
"Motel Fehraltorf","ZH","fort_nettoye","0.05","Wirnsperger Generalunternehmung AG; Wirnsperger Hotelbetriebe AG"
"Autocenter Macinko AG","BE","fort_nettoye","0.05","Minder Immobilien; NEIVA Immobilien GmbH"
"Atelier West Architekten","AG","fort_nettoye","0.06","Equipe de relocation Ouest; Opt-Immo Management Sàrl; Privera — Vermarktung"
"A. und K. Gerber","BE","fort_nettoye","0.06","Ruchti Partner AG"
"Ruchti Partner AG","BE","fort_nettoye","0.06","A. und K. Gerber"
"Cornelia Aschwanden-Bucher","SZ","fort_nettoye","0.07","Chüestall Blausee AG; Gastroconsult; Gastroconsult AG"
"SISKA Verwaltungs AG","ZH","fort_nettoye","0.07","Baloise Asset Management AG; Baloise Asset Management SA"
"Equipe de relocation Ouest","VD","fort_nettoye","0.07","Atelier West Architekten; Opt-Immo Management Sàrl; Privera — Vermarktung"
"La Praille (Grand-Lancy)","GE","fort_nettoye","0.07","Baden; Basel (St. Jakob-Park); Basel (Stücki)"
"Ehemalige Mitarbeiter","ZH","fort_nettoye","0.08","Baden; Basel (St. Jakob-Park); Basel (Stücki)"
"Gérofinance-Régie du Rhône SA","GE","fort_nettoye","0.08","Gerama S.A.; Naef Immobilier Genève SA"
"Aberegg Immobilien GmbH","","fort_nettoye","0.08","Niederer AG Filiale Härkingen; Niederer AG Filiale Thun"
"DORMEN AG","LU","fort_nettoye","0.09","HUBER REAL ESTATE PARTNER AG"
"HUBER REAL ESTATE PARTNER AG","LU","fort_nettoye","0.09","DORMEN AG"
"Gerama S.A.","FR","fort_nettoye","0.09","Gérofinance-Régie du Rhône SA; Naef Immobilier Genève SA"
"Naef Immobilier Genève SA","GE","fort_nettoye","0.09","Gerama S.A.; Gérofinance-Régie du Rhône SA"
"Schnetzler Immobilien AG","AG","fort_nettoye","0.09","Arimo Bewirtschaftung AG; arimo bewirtschaftung und vermarktung ag; Arimo Vermarktung AG"
"Colliers Switzerland AG","ZH","fort_nettoye","0.09","Bloom - Intershop Management AG; Intershop Management AG"
"Zivag Verwaltungen AG","ZH","fort_nettoye","0.09","COGERIM; COGERIM Société Coopérative de Gérance Immobilière; trimag Treuhand-Immobilien AG"
"kade & partner ag","ZH","fort_nettoye","0.09","Tuwag Immobilien AG"
"Tuwag Immobilien AG","ZH","fort_nettoye","0.09","kade & partner ag"
"Immobiliare e Fiduciaria Ceppi & CO. SA","TI","fort_nettoye","0.10","Interfida SA Lugano"
"Interfida SA Lugano","TI","fort_nettoye","0.10","Immobiliare e Fiduciaria Ceppi & CO. SA"
"Zuchwil (Riverside)","SO","fort_nettoye","0.10","Baden; Basel (St. Jakob-Park); Basel (Stücki)"
"SFS Group Schweiz AG","ZG","fort_nettoye","0.10","ANVAN INVEST AG; AP Investment GmbH; Immo 418 AG"
"ARE Immobilien AG","BE","fort_nettoye","0.11","H&K Group AG"
"H&K Group AG","JU","fort_nettoye","0.11","ARE Immobilien AG"
"Chüestall Blausee AG","VS","fort_nettoye","0.11","Cornelia Aschwanden-Bucher; Gastroconsult; Gastroconsult AG"
"Hôtel de Famille S.A.","VD","fort_nettoye","0.11","Renoreal GmbH; VISION AG; Vision Geneve S.A"
"Stadelmann & Stutz AG","AG","fort_nettoye","0.11","Chüestall Blausee AG; Cornelia Aschwanden-Bucher; Gastroconsult"
"Renoreal GmbH","GR","fort_nettoye","0.12","Hôtel de Famille S.A.; VISION AG; Vision Geneve S.A"
"Rheinfelden","AG","fort_nettoye","0.12","Baden; Basel (St. Jakob-Park); Basel (Stücki)"
"spg partner Genève","GE","fort_nettoye","0.12","Locations Générales; SPG Location Lausanne; SPG Location Nyon"
"aargau-immo klg","AG","fort_nettoye","0.13","immoberatung GmbH"
"immoberatung GmbH","ZH","fort_nettoye","0.13","aargau-immo klg"
"trimag Treuhand-Immobilien AG","BS","fort_nettoye","0.14","COGERIM; COGERIM Société Coopérative de Gérance Immobilière; Zivag Verwaltungen AG"
"EMPERIO AG","ZH","limite_garde","0.16","KEE Properties AG"
"KEE Properties AG","ZH","limite_garde","0.16","EMPERIO AG"
"COGERIM","GE","limite_garde","0.17","COGERIM Société Coopérative de Gérance Immobilière; trimag Treuhand-Immobilien AG; Zivag Verwaltungen AG"
"COGERIM Société Coopérative de Gérance Immobilière","GE","limite_garde","0.17","COGERIM; trimag Treuhand-Immobilien AG; Zivag Verwaltungen AG"
"Immo ADEMI SA","VD","limite_garde","0.17","RSM Immobilier Sàrl"
"RSM Immobilier Sàrl","VD","limite_garde","0.17","Immo ADEMI SA"
"Immo 418 AG","ZH","limite_garde","0.17","ANVAN INVEST AG; AP Investment GmbH; LAYF GmbH"
